Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
Kepler-87 b,1232.9,5600.0,12.981
TOI-1268 b,109.557,5300.0,8.911
TOI-3362 b,366.987,6532.0,9.693
CoRoT-9 b,412.98,5625.0,11.688
HD 25463 c,45.6181,6353.0,5.706
K2-32 e,157.682,5271.0,9.821
KOI-1783.02,865.73,5922.0,12.621
TOI-1685 b,37.6153,3575.0,8.758
HAT-P-19 b,202.078,4962.0,10.546
HD 88986 b,33.2673,5861.0,4.884
K2-295 b,232.801,4444.0,10.03343479591837
Kepler-20 c,282.563,5495.0,10.871
TOI-1842 b,223.465,6039.0,8.446
HATS-44 b,446.035,5080.0,12.188
Kepler-22 b,194.642,5596.0,10.152
TOI-431 d,32.5686,4850.0,6.723
Kepler-45 b,381.949,3820.0,12.892
TOI-2046 b,289.668,6250.0,10.094
Kepler-20 f,282.563,5495.0,10.871
HAT-P-16 b,226.637,6158.0,9.553001
HD 86226 c,45.683,5863.0,6.463
TOI-5398 c,130.855,6000.0,8.713
HATS-29 b,353.891,5670.0,10.877
HD 332231 b,80.6665,6128.0,7.242
K2-38 b,192.69,5705.0,9.47
Kepler-106 e,444.322,5858.0,11.431
Kepler-26 b,335.307,3914.0,12.63
Kepler-422 b,722.795,5972.0,12.041
TOI-1052 b,129.804,6146.0,8.246
HD 110067 e,32.1585,5266.0,6.492
K2-136 b,59.2474,4500.0,8.368
Kepler-48 c,306.738,5194.0,11.221
TOI-2498 b,275.265,5905.0,9.933
Kepler-48 b,306.738,5194.0,11.221
TOI-3568 b,197.906,4969.0,10.581
CoRoT-14 b,1744.6,6035.0,13.806
CoRoT-2 b,213.283,5625.0,10.31
K2-24 b,170.562,5625.0,9.18
Kepler-427 b,1017.8,5800.0,12.777
TOI-1269 b,172.138,5499.0,9.89
TOI-199 b,102.27,5255.0,8.814
EPIC 220674823 c,244.59,5532.0,10.344
GJ 414 A c,11.8893,4120.0,4.979
K2-136 c,59.2474,4500.0,8.368
K2-415 b,21.8182,3173.0,9.899
KOI-94 e,477.052,6182.0,10.926
Kepler-428 b,686.284,5150.0,13.234
Kepler-6 b,587.039,5647.0,11.634
K2-290 c,272.909,6302.0,9.42
KELT-2 A b,134.058,6327.0,7.346
Kepler-131 c,228.678,5685.0,10.079
Kepler-419 b,1011.36,6430.0,11.859
HATS-13 b,421.855,5523.0,11.983
HD 22946 d,62.7792,6169.0,6.981
K2-263 b,162.481,5368.0,9.748
KELT-10 b,188.404,5948.0,9.338
TOI-1472 b,121.84,5133.0,9.277
TOI-411 b,62.7792,6169.0,6.981
Kepler-53 b,1366.07,5858.0,13.807
TOI-220 b,90.7402,5298.0,8.542
HAT-P-27 b,199.173,5316.0,10.109
HATS-33 b,248.46,5659.0,10.287
HATS-6 b,169.318,3724.0,11.224
K2-79 b,256.011,5897.0,9.907
Kepler-107 b,525.997,5854.0,11.06
TOI-4551 b,215.986,4896.0,7.524
TOI-4641 b,86.3501,6560.0,6.579
K2-29 b,178.475,5358.0,10.062
Lupus-TR-3 b,773.409,5000.0,15.068
HAT-P-49 b,350.351,6820.0,9.346
HATS-15 b,1139.55,5311.0,12.724
OGLE-TR-182 b,2501.75,5924.0,14.737
TOI-1634 b,35.2736,3472.0,8.6
TOI-431 b,32.5686,4850.0,6.723
TOI-4600 b,216.056,5170.0,10.571
HATS-39 b,878.521,6572.0,11.518
HD 63935 b,48.9739,5513.0,6.881
KOI-94 b,477.052,6182.0,10.926
Kepler-1661 b,410.607,5100.0,12.162
Kepler-406 b,364.03,5538.0,10.97
Kepler-93 b,95.9115,5669.0,8.37
HATS-31 b,773.974,6050.0,11.572
TOI-1753 b,226.671,5621.0,10.175
HAT-P-44 b,347.85,5295.0,11.275
HAT-P-39 b,697.004,6430.0,11.157
HATS-53 b,585.77,5644.0,12.046
K2-291 b,90.0562,5520.0,8.353
Kepler-1876 b,259.935,6104.0,9.472
TOI-1130 c,58.2609,4360.0,8.351
TOI-1439 b,230.306,5841.0,9.053001
HAT-P-22 b,81.7647,5302.0,7.837
Kepler-1972 c,287.339,5818.0,9.792
TOI-1516 b,247.054,6520.0,9.669
Kepler-80 d,369.451,4540.0,12.253
HAT-P-17 b,92.3831,5246.0,8.544
HAT-P-30 b,213.985,6304.0,9.151
TOI-1249 b,139.49,5497.0,9.126
TOI-1296 b,323.265,5567.0,9.742
TOI-1347 c,147.476,5464.0,9.616
TOI-1470 b,51.9503,3709.0,9.283
