Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
1830.69162,624,11.725,Gas Giant,0.0,"[1830.69162,624.0,11.725]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
6.93,1102,2.67,Rocky Planet,1.0,"[6.93,1102.0,2.67]","[0.0,10.0]","[0.0,1.0]",1.0
149.3801,1740,17.598,Gas Giant,0.0,"[149.3801,1740.0,17.598]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
352.78,2000,14.46,Gas Giant,0.0,"[352.78,2000.0,14.46]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
197.05361,1596,16.432,Gas Giant,0.0,"[197.05361,1596.0,16.432]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
169.0,481,6.18,Gas Giant,0.0,"[169.0,481.0,6.18]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
508.528,1422,12.285,Gas Giant,0.0,"[508.528,1422.0,12.285]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
79.4571,1456,14.46,Gas Giant,0.0,"[79.4571,1456.0,14.46]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
159.55066,1111,16.477,Gas Giant,0.0,"[159.55066,1111.0,16.477]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
411.27202,1418,12.812,Gas Giant,0.0,"[411.27202,1418.0,12.812]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
10.5,825,2.916,Gas Giant,0.0,"[10.5,825.0,2.916]","[8.828862229724297,1.1711377702757013]","[0.8828862229724299,0.11711377702757016]",0.0
12.2,885,4.88,Gas Giant,0.0,"[12.2,885.0,4.88]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
232.33373,2470,12.993,Gas Giant,0.0,"[232.33373,2470.0,12.993]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
274.276,670,8.687,Gas Giant,0.0,"[274.276,670.0,8.687]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
502.16888,1688,14.37,Gas Giant,0.0,"[502.16888,1688.0,14.37]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
1.3,615,0.755,Rocky Planet,1.0,"[1.3,615.0,0.755]","[0.0,10.0]","[0.0,1.0]",1.0
3.72,475,1.88,Rocky Planet,1.0,"[3.72,475.0,1.88]","[0.0,10.0]","[0.0,1.0]",1.0
775.5052,1320,16.141,Gas Giant,0.0,"[775.5052,1320.0,16.141]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
305.1168,1398,13.529,Gas Giant,0.0,"[305.1168,1398.0,13.529]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
166.86075,1322,14.785,Gas Giant,0.0,"[166.86075,1322.0,14.785]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
10.0,1125,2.586,Rocky Planet,1.0,"[10.0,1125.0,2.586]","[2.7607142857142857,7.239285714285715]","[0.2760714285714286,0.7239285714285715]",1.0
