Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
KELT-7 b,0.11312557679914075,1102,Not Habitable
Kepler-21 b,0.0434,2015,Not Habitable
TOI-1601 b,0.069,1494,Not Habitable
K2-131 b,0.00936,2223,Not Habitable
TOI-2018 b,0.11312557679914075,1102,Not Habitable
TOI-220 b,0.08911,805,Not Habitable
HAT-P-66 b,0.04363,1896,Not Habitable
Kepler-102 d,0.08618,686,Not Habitable
CoRoT-24 b,0.056,1070,Not Habitable
HAT-P-39 b,0.0509,1752,Not Habitable
Kepler-103 b,0.13223,973,Not Habitable
HD 28109 b,0.1357,881,Not Habitable
Kepler-422 b,0.082,1102,Not Habitable
Kepler-97 b,0.11312557679914075,1102,Not Habitable
TOI-2589 b,0.3,592,Not Habitable
HATS-33 b,0.03727,1429,Not Habitable
HD 63433 c,0.146,622,Not Habitable
Kepler-105 c,0.11312557679914075,1102,Not Habitable
Kepler-289 c,0.11312557679914075,1102,Not Habitable
Kepler-323 c,0.0458,1431,Not Habitable
Kepler-425 b,0.0464,1070,Not Habitable
Qatar-2 b,0.02153,1344,Not Habitable
Kepler-85 b,0.11312557679914075,1102,Not Habitable
Kepler-93 b,0.05343,1133,Not Habitable
TOI-1853 b,0.0213,1479,Not Habitable
HAT-P-27 b,0.04,1102,Not Habitable
LP 714-47 b,0.0417,700,Not Habitable
CoRoT-22 b,0.092,885,Not Habitable
GJ 143 b,0.1915,422,Not Habitable
HD 207897 b,0.117,582,Not Habitable
Kepler-113 b,0.11312557679914075,1102,Not Habitable
NGTS-11 b,0.201,435,Not Habitable
TOI-2109 b,0.01791,3646,Not Habitable
HAT-P-50 b,0.0453,1862,Not Habitable
KOI-3503 c,0.11312557679914075,686,Not Habitable
Kepler-30 d,0.5,1102,Not Habitable
TOI-4379 b,0.11312557679914075,1102,Not Habitable
Kepler-11 e,0.195,1102,Not Habitable
Kepler-87 b,0.481,478,Not Habitable
K2-19 c,0.11312557679914075,1102,Not Habitable
KOI-1257 b,0.382,511,Not Habitable
