Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
Kepler-74 b,1177.55,1078,12.958
PH1 b,1033.16,481,12.395
LTT 9779 b,80.4373,1978,8.016
TOI-1749 d,99.5561,533,10.27
NGTS-30 b,238.377,500,10.501
TOI-1294 b,332.648,1393,9.964
TOI-178 g,62.699,470,8.656
EPIC 220674823 b,244.59,2300,10.344
HIP 97166 b,65.9501,702,7.923
Kepler-11 f,646.346,1102,12.18
Kepler-11 g,646.346,1102,12.18
TIC 279401253 b,285.584,1102,10.345
HD 28109 d,139.611,506,8.175
L 168-9 b,25.1496,998,7.082
CoRoT-17 b,1176.12,1626,12.472
TOI-270 b,22.4793,581,8.251
CoRoT-18 b,764.889,1550,13.014
HAT-P-28 b,401.319,1384,11.104
TOI-178 d,62.699,690,8.656
K2-287 b,158.335,804,9.188
Kepler-1705 c,1633.49,1102,13.735
Kepler-1972 b,287.339,1102,9.792
Kepler-453 b,442.846,1102,11.92
Kepler-58 b,969.252,1102,13.283
Kepler-79 c,1020.72,1102,12.606
Kepler-95 b,445.656,1102,10.801
TOI-1259 A b,118.106,963,9.619
TOI-1273 b,177.118,1211,9.417
TOI-201 b,113.825,759,7.846
TOI-4504 c,342.605,1102,11.236
TOI-4633 c,95.2016,1102,7.349
HAT-P-55 b,511.388,1367,11.627
HD 183579 b,57.2651,752,7.15
HIP 8152 b,101.694,795,8.449
Kepler-37 c,63.9207,615,7.942
HAT-P-4 b,320.451,1686,9.770001
Kepler-58 c,969.252,1102,13.283
Kepler-80 c,369.451,1102,12.253
TOI-2373 b,508.686,860,11.586
KELT-8 b,197.572,1102,9.177
Kepler-117 c,1455.57,704,13.011
Kepler-23 b,835.756,1102,11.998
Kepler-30 c,914.221,1102,13.581
TOI-3071 b,485.219,2155,11.005
TOI-4582 b,383.846,1102,9.329001
TOI-5076 b,82.857,615,8.582
HATS-45 b,772.11,1518,12.137
Kepler-408 b,88.7832,1102,7.486
TOI-1444 b,125.463,2130,9.061
CoRoT-26 b,1045.18,1600,13.261
KOI-1783.01,865.73,1102,12.621
Kepler-35 b,1819.17,1102,13.875
Kepler-91 b,1294.69,2040,10.136
Kepler-102 f,107.796,495,9.351
Kepler-23 d,835.756,1102,11.998
K2-138 f,202.585,1102,10.305
Kepler-407 b,338.368,1102,10.911
Kepler-539 b,307.318,388,10.915
Kepler-77 b,639.411,1440,12.361
Qatar-8 b,281.498,1457,9.937
CoRoT-4 b,726.412,1074,12.288
Kepler-129 b,408.845,1102,10.252
Kepler-177 c,1435.44,1102,13.421
Qatar-4 b,329.036,1385,11.519
TOI-163 b,411.719,1669,10.124
CoRoT-27 b,1010.28,1500,12.985
HAT-P-50 b,515.458,1862,10.5
HD 42813 b,68.192,716,7.587
HD 77946 b,99.451,1129,7.622
Kepler-106 b,444.322,1102,11.431
Kepler-79 b,1020.72,1102,12.606
TOI-2338 b,313.996,799,10.664
HD 209458 b,48.3016,1102,6.308
Kepler-19 b,218.562,851,10.318
Kepler-21 b,108.522,2015,6.945
Kepler-98 b,350.315,1102,11.253
TOI-2202 b,235.933,1102,10.8
HATS-50 b,756.742,1102,12.289
K2-38 c,192.69,949,9.47
HATS-1 b,283.971,1359,10.58
Kepler-102 d,107.796,686,9.351
TIC 172900988 b,250.956,1102,8.762
TOI-4914 b,299.89,894,10.706
HAT-P-37 b,390.594,1271,11.667
HD 110067 f,32.1585,489,6.492
Kepler-46 b,777.06,543,13.347
Kepler-9 b,628.257,1102,12.337
CoRoT-28 b,766.183,1102,11.032
HIP 8152 c,101.694,651,8.449
K2-237 b,314.995,1759,10.217
Kepler-433 b,1878.31,1776,12.826
KOI-142 b,376.863,1102,11.454
Kepler-32 b,323.847,1102,12.757
Kepler-418 b,1002.53,1102,13.103
