Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
4780.0,0.76,0.86
5289.0,0.98,0.9
5388.0,0.96,0.96
5568.0,1.07,1.0
6460.0,2.26,1.56
6120.0,1.45,1.26
4499.3,0.66,0.68
5194.0,0.89,0.88
6475.0,1.4,1.62
5900.0,0.9,1.0
3681.0,0.51,0.51
6480.0,2.1,1.48
5500.0,1.01,0.97
5625.0,0.96,1.04
4700.0,0.86,0.98
6170.0,1.48,1.67
4435.0,0.67,0.73
5850.0,1.12,1.36
5650.0,1.2,1.02
6350.0,1.39,1.38
6120.0,2.11,1.41
5420.0,0.91,0.94
5278.0,0.78,0.8
5900.0,1.5,1.12
5910.0,1.32,1.09
5806.0,0.93,0.95
6250.0,2.18,2.78
5890.0,1.61,1.32
6400.0,1.6,1.35
5959.0,0.98,1.08
4941.0,1.43,1.26
6200.0,1.66,1.08
5675.0,0.96,0.98
5000.0,0.79,0.87
3725.0,0.55,0.54
6000.0,1.12,1.08
5558.0,0.91,0.91
6100.0,1.76,1.08
5900.0,1.17,1.19
6400.0,1.43,1.28
5450.0,0.73,0.55
4900.0,0.68,0.76
5545.0,0.83,0.81
5600.0,0.97,0.92
5550.0,1.86,1.28
5600.0,1.01,0.93
5740.0,1.28,1.17
5600.0,0.96,0.71
6040.0,1.22,1.29
5310.0,0.8,0.92
6643.0,1.71,1.4
5150.0,0.77,0.78
6400.0,1.44,1.62
6050.0,1.82,0.76
6295.0,1.28,1.18
5200.0,0.81,0.81
4675.0,0.7,0.75
5430.0,1.13,1.04
5990.0,1.08,1.05
6050.0,1.02,1.07
6302.0,1.25,1.16
6450.0,1.63,1.2
4800.0,0.89,1.42
5940.0,1.43,1.29
6430.0,1.8,0.94
4251.0,0.61,0.65
7000.0,1.79,1.59
5900.0,1.09,1.11
6280.0,1.34,1.19
5750.0,0.88,0.88
5940.0,1.39,1.2
5180.0,0.87,0.9
6380.0,1.31,1.41
5920.0,1.58,0.88
6075.0,1.42,1.43
6000.0,1.65,1.23
6900.0,1.57,0.77
5150.0,0.85,0.85
5941.0,1.93,1.34
6429.0,1.54,0.58
6361.0,1.47,1.22
3266.0,0.42,0.44
5800.0,1.11,1.05
5313.0,0.87,0.78
5700.0,1.03,0.96
5950.0,1.37,0.72
