Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year,orb_id,disc_id
Transit,Kepler,Kepler-20,2011-01-01,432,1292
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2076,2021-01-01,690,2066
Transit,Multiple Facilities,WASP-53,2017-01-01,1055,3161
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1776,2024-01-01,1271,3809
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3894,2024-01-01,1533,4595
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2580,2024-01-01,2412,7232
Transit,Kepler,Kepler-409,2014-01-01,440,1316
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-663,2024-01-01,484,1448
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3785,2023-01-01,584,1748
Transit,HATNet,HAT-P-11,2008-01-01,849,2543
Transit,K2,K2-32,2019-01-01,1068,3200
Transit,HATSouth,HATS-7,2015-01-01,1086,3254
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 1397,2018-01-01,1230,3686
Transit,Kepler,Kepler-10,2011-01-01,2190,6566
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5678,2023-01-01,515,1541
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1728,2020-01-01,769,2303
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1052,2023-01-01,1137,3407
Transit,HATSouth,HATS-51,2017-01-01,1555,4661
Transit,CoRoT,CoRoT-14,2010-01-01,1954,5858
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1710,2022-01-01,605,1811
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-622,2023-01-01,1390,4166
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4406,2023-01-01,906,2714
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1268,2022-01-01,921,2759
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2641,2023-01-01,1389,4163
Transit,HATSouth,HATS-58 A,2019-01-01,1723,5165
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2134,2023-01-01,668,2000
Transit,K2,K2-38,2016-01-01,1312,3932
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-332,2023-01-01,1873,5615
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2141,2023-01-01,724,2168
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 202772 A,2019-01-01,2134,6398
Transit,KELT,KELT-16,2017-01-01,2455,7361
Transit,Kepler,Kepler-138,2014-01-01,347,1037
Transit,SuperWASP-South,WASP-132,2016-01-01,684,2048
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1272,2022-01-01,977,2927
Transit,XO,XO-7,2019-01-01,1745,5231
Transit,K2,K2-415,2023-01-01,414,1238
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1670,2022-01-01,686,2054
Transit,K2,K2-261,2018-01-01,1038,3110
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-481,2020-01-01,1372,4112
Transit,HATSouth,HATS-54,2019-01-01,1431,4289
Transit,SuperWASP-North,WASP-113,2016-01-01,1498,4490
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1836,2024-01-01,2010,6026
Transit,Next-Generation Transit Survey (NGTS),NGTS-14 A,2021-01-01,1145,3431
Transit,K2,WASP-85 A,2016-01-01,1454,4358
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 25463,2023-01-01,1588,4760
Transit,KELT-North,KELT-18,2017-01-01,2087,6257
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1451,2024-01-01,725,2171
Transit,WASP-South,WASP-185,2019-01-01,1162,3482
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-858 B,2023-01-01,1531,4589
Transit,Kepler,Kepler-91,2013-01-01,2042,6122
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3884,2022-01-01,443,1325
Transit,SuperWASP-South,WASP-105,2017-01-01,902,2702
Transit,K2,K2-216,2018-01-01,1105,3311
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-329,2024-01-01,1215,3641
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1470,2023-01-01,375,1121
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 73583,2022-01-01,500,1496
Transit,HATSouth,HATS-60,2018-01-01,1530,4586
Transit,Kepler,Kepler-849,2016-01-01,365,1091
Transit,Transiting Exoplanet Survey Satellite (TESS),L 98-59,2019-01-01,418,1250
Transit,Multiple Observatories,HD 110067,2023-01-01,491,1469
Transit,Kepler,Kepler-968,2021-01-01,615,1841
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 260655,2022-01-01,711,2129
Transit,Next-Generation Transit Survey (NGTS),NGTS-12,2020-01-01,1259,3773
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1439,2024-01-01,750,2246
Transit,K2,K2-12,2015-01-01,1028,3080
Transit,HATNet,HAT-P-44,2014-01-01,1110,3326
Transit,Haleakala Observatory,Wendelstein-1,2020-01-01,2200,6596
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1273,2024-01-01,1213,3635
Transit,K2,EPIC 249893012,2020-01-01,992,2972
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2095,2023-01-01,349,1043
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5688 A,2024-01-01,744,2228
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3568,2024-01-01,901,2699
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1288,2022-01-01,1205,3611
Transit,CoRoT,CoRoT-5,2009-01-01,1440,4316
Radial Velocity,W. M. Keck Observatory,GJ 414 A,2021-01-01,311,929
Transit,HATSouth,HATS-22,2017-01-01,860,2576
Transit,SuperWASP,WASP-89,2015-01-01,1122,3362
Transit,HATNet,HAT-P-51,2015-01-01,1170,3506
Transit,SuperWASP,WASP-44,2011-01-01,1339,4013
Transit,CoRoT,CoRoT-23,2011-01-01,1662,4982
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1260,2022-01-01,501,1499
Radial Velocity,La Silla Observatory,GJ 3470,2012-01-01,596,1784
Transit,Kepler,Kepler-1655,2018-01-01,940,2816
Transit,Transiting Exoplanet Survey Satellite (TESS),Gliese 12,2024-01-01,317,947
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1064,2022-01-01,636,1904
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 143,2019-01-01,703,2105
Transit,K2,K2-287,2018-01-01,806,2414
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4791,2023-01-01,1474,4418
Transit,CoRoT,CoRoT-18,2011-01-01,1552,4652
Transit,SuperWASP-South,WASP-161,2018-01-01,1559,4673
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1669,2024-01-01,1287,3857
Transit,K2,K2-98,2016-01-01,1187,3557
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1294,2024-01-01,1395,4181
