Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
K2-36 b,0.02288,1328,Not Habitable
WASP-79 b,0.0519,1716,Not Habitable
HD 136352 b,0.0964,905,Not Habitable
HAT-P-38 b,0.0523,1082,Not Habitable
Kepler-111 c,0.751,352,Not Habitable
TOI-3364 b,0.0675,1264,Not Habitable
HAT-P-58 b,0.04994,1622,Not Habitable
TOI-238 c,0.0749,696,Not Habitable
EPIC 249893012 d,0.22,752,Not Habitable
K2-280 b,0.1461,787,Not Habitable
TOI-733 b,0.0618,1056,Not Habitable
LTT 1445 A c,0.02661,508,Not Habitable
HD 21520 b,0.1726,637,Not Habitable
TOI-4994 b,0.1515,718,Not Habitable
K2-30 b,0.04839,1092,Not Habitable
Kepler-76 b,0.0274,2140,Not Habitable
K2-36 c,0.05528,854,Not Habitable
HATS-45 b,0.05511,1518,Not Habitable
TOI-2154 b,0.0513,1580,Not Habitable
TOI-6130 b,0.036,1750,Not Habitable
TOI-1789 b,0.04882,1927,Not Habitable
HIP 9618 b,0.145,641,Not Habitable
HIP 97166 b,0.091,702,Not Habitable
TOI-4914 b,0.098,894,Not Habitable
WASP-177 b,0.03957,1142,Not Habitable
K2-111 b,0.0565,1309,Not Habitable
K2-237 b,0.03552,1759,Not Habitable
HAT-P-66 b,0.04363,1896,Not Habitable
Kepler-428 b,0.0433,1070,Not Habitable
HD 86226 c,0.049,1311,Not Habitable
HATS-27 b,0.0611,1659,Not Habitable
TOI-1749 c,0.0443,673,Not Habitable
TOI-1472 b,0.065,811,Not Habitable
HD 23472 b,0.1162,543,Not Habitable
HD 97658 b,0.11312557679914083,751,Not Habitable
HD 191939 b,0.0804,880,Not Habitable
Kepler-323 b,0.02778,1838,Not Habitable
OGLE-TR-132 b,0.03035,2013,Not Habitable
TOI-561 e,0.328,415,Not Habitable
K2-3 b,0.0747,501,Not Habitable
GJ 9827 c,0.0395,716,Not Habitable
CoRoT-24 c,0.098,850,Not Habitable
TOI-1411 b,0.02122,976,Not Habitable
Kepler-109 b,0.0701,1276,Not Habitable
TOI-431 b,0.0113,1862,Not Habitable
Kepler-138 c,0.0913,410,Not Habitable
Kepler-19 b,0.0846,851,Not Habitable
TOI-1478 b,0.0903,918,Not Habitable
HAT-P-9 b,0.05287,1540,Not Habitable
HD 3167 c,0.1776,564,Not Habitable
TOI-969 b,0.02636,941,Not Habitable
NGTS-23 b,0.0504,1327,Not Habitable
TOI-1855 b,0.02398,1701,Not Habitable
HATS-24 b,0.0238,2166,Not Habitable
TOI-2180 b,0.828,348,Not Habitable
TOI-1842 b,0.1,1200,Not Habitable
KOI-94 b,0.05119,1486,Not Habitable
TOI-1266 b,0.0728,425,Not Habitable
NGTS-8 b,0.035,1345,Not Habitable
TOI-1820 b,0.061,1375,Not Habitable
OGLE-TR-56 b,0.02383,2212,Not Habitable
TOI-125 b,0.05186,1037,Not Habitable
TOI-2025 b,0.0892,1166,Not Habitable
WASP-90 b,0.0562,1840,Not Habitable
TOI-431 d,0.098,633,Not Habitable
TOI-1296 b,0.051,1415,Not Habitable
HD 88986 b,0.58,460,Not Habitable
HD 136352 c,0.1721,677,Not Habitable
CoRoT-6 b,0.0855,1017,Not Habitable
Kepler-74 b,0.0781,1078,Not Habitable
TOI-954 b,0.04963,1526,Not Habitable
