Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,st_tefferr2,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,Discovery_Method_Index,Discovery_Facility_Index
HATS-6 b,HATS-6,Transit,2015,HATSouth,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..166H/abstract target=ref>Hartman et al. 2015</a>,3.3252725,2.1E-6,-2.1E-6,0.03623,11.187,0.998,101.38777,0.319,Mass,0.0,713,5,-5,0,0,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..166H/abstract target=ref>Hartman et al. 2015</a>,M1 V,3724.0,18.0,-18.0,0,0.57,0.57,0.2,4.68,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h52m35.23s,88.1468079,-19.0316268,169.318,15.044,11.224,2015-01-01,0.0,4.0
K2-290 c,K2-290,Transit,2019,K2,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,48.36685,4.1E-4,-4.0E-4,0.305,11.276,1.006,246.00042,0.774,Mass,0.0,676,16,-16,0,0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,Unknown,6302.0,120.0,-120.0,0,1.51,1.19,-0.06,4.23,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h39m25.89s,234.8578846,-20.1988975,272.909,11.114,9.42,2019-01-01,0.0,2.0
Kepler-129 b,Kepler-129,Transit,2014,Kepler,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>,15.79,0.013783126748768453,-0.010317993694581256,0.13,2.4,0.214,20.0,0.06293,Msini,0.09335043219404639,1100,28,-27,0,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>,G4 V,5770.0,83.0,-83.0,0,1.65,1.18,0.29,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m14.68s,285.3111845,47.8484775,408.845,11.809,10.252,2014-01-01,0.0,1.0
Kepler-53 b,Kepler-53,Transit,2012,Kepler,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,18.6489525,1.6E-4,-1.6E-4,0.11454987782805433,2.89,0.258,111.0,0.34925,Mass,0.09335043219404639,1100,28,-27,0,1,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,Unknown,5858.0,80.55244801512288,-79.56300672430355,0,0.89,0.98,0.060960566228513584,4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m50.83s,290.4617926,40.5624966,1366.07,15.367,13.807,2012-01-01,0.0,1.0
Kepler-62 b,Kepler-62,Transit,2013,Kepler,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,5.714932,9.0E-6,-9.0E-6,0.0553,1.31,0.117,9.0,0.03,Mass,0.09335043219404639,750,41,-41,0,0,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,K2 V,4925.0,70.0,-70.0,0,0.64,0.69,-0.37,4.68,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,45.3496992,300.874,13.965,11.659,2013-01-01,0.0,1.0
TOI-178 e,TOI-178,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,9.961881,4.2E-5,-4.2E-5,0.0783,2.207,0.197,3.86,0.01214,Mass,0.09335043219404639,600,12,-12,0,0,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,K,4316.0,70.0,-70.0,0,0.65,0.65,-0.23,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h29m12.48s,7.3020115,-30.4541159,62.699,11.955,8.656,2021-01-01,0.0,0.0
TOI-199 b,TOI-199,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,104.854,0.001,-0.002,0.4254,9.079,0.81,54.03083,0.17,Mass,0.09,1100,28,-27,0,1,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,G9 V,5255.0,12.0,-10.0,0,0.82,0.94,0.22,4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h20m25.41s,80.1058735,-59.8954326,102.27,10.701,8.814,2023-01-01,0.0,0.0
HAT-P-31 b,HAT-P-31,Transit,2011,HATNet,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,5.00542,9.1E-5,-9.1E-5,0.11454987782805433,12.218,1.09,721.4741,2.27,Mass,0.25,1100,28,-27,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Unknown,6065.0,100.0,-100.0,0,1.39,1.31,0.15,4.26,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h06m09.04s,271.5376722,26.4266061,344.05,11.667,10.083,2011-01-01,0.0,5.0
Kepler-17 b,Kepler-17,Transit,2011,Kepler,<a refstr=DESERT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197...14D/abstract target=ref> D&eacute;sert et al. 2011 </a>,1.4857108,2.0E-7,-2.0E-7,0.02591,14.68,1.31,778.65,2.45,Mass,0.011,1570,200,-200,0,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Unknown,5781.0,85.0,-85.0,0,1.01,1.04,0.26,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m34.86s,298.3952437,47.8149865,720.753,14.314,12.585,2011-01-01,0.0,1.0
HATS-39 b,HATS-39,Transit,2018,HATSouth,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,4.5776348,7.3E-6,-7.3E-6,0.06007,17.598,1.57,200.2329,0.63,Mass,0.275,1645,43,-43,0,0,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Unknown,6572.0,83.0,-83.0,0,1.62,1.38,0.0,4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h29m40.61s,112.4192251,-29.9379163,878.521,12.745,11.518,2018-01-01,0.0,4.0
HAT-P-44 b,HAT-P-44,Transit,2014,HATNet,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>,4.301219,1.9E-5,-1.9E-5,0.0507,13.922,1.242,111.871,0.352,Mass,0.044,1108,51,-32,0,0,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>,Unknown,5295.0,100.0,-100.0,0,0.95,0.94,0.33,4.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h12m34.53s,213.1438604,47.0147826,347.85,13.225,11.275,2014-01-01,0.0,5.0
Kepler-43 b,Kepler-43,Transit,2011,Kepler,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,3.0240949,6.0E-7,-6.0E-7,0.046,13.664,1.219,1026.5909,3.23,Mass,0.09335043219404639,1620,40,-40,0,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,Unknown,6041.0,143.0,-143.0,0,1.42,1.32,0.33,4.26,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m57.80s,285.2408288,46.6682411,1005.84,13.986,12.549,2011-01-01,0.0,1.0
TOI-329 b,TOI-329,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,5.70439,1.3E-4,-1.3E-4,0.0638,4.941,0.441,40.4,0.12711,Mass,0.39,1213,23,-22,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5614.0,79.0,-74.0,0,1.53,1.07,0.205,4.09,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h25m17.06s,351.3210955,-15.6346313,284.388,11.262,9.677,2024-01-01,0.0,0.0
HATS-8 b,HATS-8,Transit,2015,HATSouth,<a refstr=BAYLISS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...49B/abstract target=ref>Bayliss et al. 2015</a>,3.583893,1.0E-5,-1.0E-5,0.04667,9.785,0.873,43.86054,0.138,Mass,0.376,1324,79,-38,0,0,<a refstr=BAYLISS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...49B/abstract target=ref>Bayliss et al. 2015</a>,Unknown,5679.0,50.0,-50.0,0,1.09,1.06,0.21,4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m46.01s,294.9416887,-25.7483655,794.637,14.512,12.661,2015-01-01,0.0,4.0
Kepler-20 c,Kepler-20,Transit,2011,Kepler,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,10.8540774,2.1E-6,-2.1E-6,0.0936,2.894,0.258,11.1,0.03492,Mass,0.076,828,11,-11,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Unknown,5495.0,50.0,-50.0,0,0.92,0.93,0.07,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,42.3385782,282.563,12.61,10.871,2011-01-01,0.0,1.0
TOI-2107 b,TOI-2107,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,2.4545467,1.3E-6,-1.3E-6,0.03515,13.574,1.211,263.79758,0.83,Mass,0.033,1397,20,-18,0,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,Unknown,5627.0,94.0,-93.0,0,0.93,0.96,0.07,4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m11.17s,286.7965405,-58.6968348,236.705,12.0363,10.328,2024-01-01,0.0,0.0
K2-33 b,K2-33,Transit,2016,K2,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,5.424865,3.5E-5,-3.1E-5,0.11454987782805433,5.04,0.45,1175.971,3.7,Mass,0.0,1100,28,-27,0,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,M3.3,3540.0,70.0,-70.0,0,1.05,0.56,0.060960566228513584,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m14.73s,242.5613635,-19.3193831,139.268,15.838,10.026,2016-01-01,0.0,2.0
Kepler-307 c,Kepler-307,Transit,2013,Kepler,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,13.0729,0.0012,-0.0012,0.11454987782805433,2.2,0.196,3.64,0.01145,Mass,0.09335043219404639,1100,28,-27,0,1,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,Unknown,5367.0,94.0,-94.0,0,0.81,0.91,0.19,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m10.82s,297.7950939,40.4176403,575.581,14.149,12.321,2013-01-01,0.0,1.0
TOI-1248 b,TOI-1248,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,4.3601561,1.1E-6,-1.1E-6,0.051,6.808,0.607,27.4,0.08621,Mass,0.0,952,14,-14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5205.0,56.0,-62.0,0,0.87,0.9,0.223,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h16m05.66s,259.0235918,63.1056072,168.735,11.806,9.87,2024-01-01,0.0,0.0
TOI-2416 b,TOI-2416,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,8.275479,9.0E-6,-9.0E-6,0.0831,9.864,0.88,953.48522,3.0,Mass,0.32,1080,10,-10,0,0,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,Unknown,5808.0,80.0,-80.0,0,1.24,1.12,0.32,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h49m21.35s,57.3389409,-60.7871861,557.733,13.019,11.511,2023-01-01,0.0,0.0
TOI-4633 c,TOI-4633,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,271.9445,0.0039,-0.004,0.847,3.2,0.285,123.0,0.387,Mass,0.117,1100,28,-27,0,0,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,G V,5800.0,50.0,-50.0,0,1.05,1.1,0.060960566228513584,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m22.34s,256.8431021,62.475548,95.2016,9.017,7.349,2024-01-01,0.0,0.0
HAT-P-42 b,HAT-P-42,Transit,2012,HATNet,<a refstr=BOISSE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...558A..86B/abstract target=ref> Boisse et al. 2013 </a>,4.641878,3.2E-5,-3.2E-5,0.0575,14.348,1.28,331.801,1.044,Mass,0.0,1428,60,-60,0,0,<a refstr=BOISSE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...558A..86B/abstract target=ref> Boisse et al. 2013 </a>,Unknown,5743.0,50.0,-50.0,0,1.53,1.18,0.27,4.14,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h01m22.65s,135.3443583,6.0970828,405.238,12.125,10.626,2012-01-01,0.0,5.0
Kepler-167 e,Kepler-167,Transit,2016,Kepler,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,1071.23205,5.9E-4,-5.8E-4,1.883,10.16,0.906,321.00669,1.01,Mass,0.29,134,4,-4,0,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,Unknown,4884.0,69.0,-75.0,0,0.75,0.78,0.02,4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,38.3455558,341.908,14.284,11.832,2016-01-01,0.0,1.0
Kepler-48 d,Kepler-48,Transit,2014,Kepler,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,42.8961,0.013783126748768453,-0.010317993694581256,0.11454987782805433,2.04,0.182,7.93,0.025,Mass,0.09335043219404639,1100,28,-27,0,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,Unknown,5194.0,73.0,-73.0,0,0.89,0.88,0.17,4.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m33.43s,299.1393094,40.948939,306.738,13.174,11.221,2014-01-01,0.0,1.0
TIC 241249530 b,TIC 241249530,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GUPTA_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07688-3 target=ref>Gupta et al. 2024</a>,165.7719,2.7E-4,-2.8E-4,0.641,13.294,1.186,1582.78547,4.98,Mass,0.9412,1100,28,-27,0,0,<a refstr=GUPTA_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07688-3 target=ref>Gupta et al. 2024</a>,Unknown,6166.0,43.0,-43.0,0,1.4,1.27,0.09,4.23,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h21m14.14s,95.3088995,53.2950203,324.448,11.908,10.192,2024-01-01,0.0,0.0
TOI-1443 b,TOI-1443,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,23.540678,5.8E-5,-5.8E-5,0.147,2.304,0.206,30.0,0.09439,Mass,0.0,521,14,-12,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5224.0,59.0,-58.0,0,0.75,0.77,-0.294,4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m35.68s,297.398678,76.1391776,85.8034,10.675,8.674,2024-01-01,0.0,0.0
TOI-251 b,TOI-251,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.93777,2.8E-5,-2.9E-5,0.05741,2.74,0.244,317.83,1.0,Mass,0.0,1100,28,-27,0,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,Unknown,5875.0,100.0,-190.0,0,0.88,1.04,-0.106,4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m14.90s,353.0620655,-37.2558629,99.523,9.887,8.426,2021-01-01,0.0,0.0
TOI-4551 b,TOI-4551,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=PEREIRA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231106678P/abstract target=ref>Pereira et al. 2023</a>,9.95581,7.6E-5,-7.8E-5,0.0994,11.859,1.058,473.56433,1.49,Mass,0.101,1100,28,-27,0,0,<a refstr=PEREIRA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231106678P/abstract target=ref>Pereira et al. 2023</a>,Unknown,4896.0,110.0,-110.0,0,3.55,1.31,0.23,3.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m54.90s,184.9787579,-25.8278531,215.986,9.973,7.524,2023-01-01,0.0,0.0
K2-280 b,K2-280,Transit,2018,K2,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.4423N/abstract target=ref>Nowak et al. 2020</a>,19.89526,2.8E-4,-2.8E-4,0.1461,7.5,0.669,37.1,0.11673,Mass,0.35,787,17,-17,0,0,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.4423N/abstract target=ref>Nowak et al. 2020</a>,Unknown,5500.0,100.0,-100.0,0,1.28,1.03,0.33,4.21,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m22.89s,291.5953596,-22.2477071,391.537,12.524,10.765,2018-01-01,0.0,2.0
Kepler-51 d,Kepler-51,Transit,2014,Kepler,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,130.194,0.005,-0.002,0.509,9.7,0.865,7.6,0.024,Mass,0.008,381,8,-8,0,1,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,Unknown,6018.0,107.0,-107.0,0,0.94,1.04,0.060960566228513584,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m55.14s,296.4797624,49.9376486,783.831,14.885,13.197,2014-01-01,0.0,1.0
TOI-1749 d,TOI-1749,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>,9.0497,0.0049,-0.0032,0.0707,2.52,0.225,15.0,0.0472,Mass,0.062,533,12,-12,0,0,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>,M0 V,3985.0,55.0,-55.0,0,0.55,0.58,-0.26,4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h50m56.93s,282.7372281,64.419466,99.5561,13.86,10.27,2021-01-01,0.0,0.0
TOI-1836 b,TOI-1836,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,20.380845,2.8E-5,-2.8E-5,0.157,8.281,0.739,24.7,0.07771,Mass,0.0,890,16,-13,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,6237.0,91.0,-69.0,0,1.65,1.25,-0.136,4.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h23m37.90s,245.9079242,54.6900774,191.649,9.765,8.531,2024-01-01,0.0,0.0
NGTS-3 A b,NGTS-3 A,Transit,2018,Next-Generation Transit Survey (NGTS),<a refstr=G_UUML_NTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.4720G/abstract target=ref>G&uuml;nther et al. 2018</a>,1.6753728,3.0E-6,-3.0E-6,0.023,16.589,1.48,756.4354,2.38,Mass,0.09335043219404639,1100,28,-27,0,0,<a refstr=G_UUML_NTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.4720G/abstract target=ref>G&uuml;nther et al. 2018</a>,G6 V,5600.0,150.0,-150.0,0,0.93,1.02,0.12,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h17m46.74s,94.4447595,-35.706364,743.972,14.669,12.814,2018-01-01,0.0,8.0
