Insolation_Flux,temperature,mass,ra,dec
62.9,784,13.5,296.0039349,-47.5620305
486.9533952254641,300,37.0,261.3748943,75.8822796
486.9533952254641,1363,1767.0,263.7580753,40.6950428
486.9533952254641,581,1.58,68.4160804,-51.9573937
18.68,578,11.4,285.679298,50.2414842
1.84,297,7.4,285.6365235,75.4185135
19.0,584,2.08,49.2626428,-42.2441492
486.9533952254641,1102,1547.8321,171.2749348,41.0280207
486.9533952254641,1315,420.471,94.1120914,-22.5468824
486.9533952254641,1102,942.0,128.6616644,31.5539793
486.9533952254641,1952,2415.4,103.4242023,-5.5360385
486.9533952254641,2069,629.14449,173.9574203,-29.1560639
203.0,920,5.14,93.0578446,-14.6493167
185.0,1037,9.5,23.5934253,-66.6763495
486.9533952254641,1694,2.44,201.2826259,38.9223671
104.3,890,624.85065,36.1561463,-65.0001957
6130.0,2463,5.72,140.3390845,14.3678691
39.1,695,8.0,350.9170464,-1.1891827
532.0,1728,1064.72516,155.6078632,-82.2188693
36.0,682,3.21,16.6538724,19.2249195
352.0,1205,139.8445,84.1527191,0.8962788
160.0,990,14.67,228.2482353,-16.7246474
486.9533952254641,1102,2.11,288.3953074,39.8725067
486.9533952254641,270,36.0,283.2125621,45.3496992
486.9533952254641,1680,187.5197,281.2881335,42.4510975
486.9533952254641,952,27.4,259.0235918,63.1056072
1730.0,2410,200.2319,62.1992072,67.1165264
3.4,345,2.1,290.3814122,43.2930645
1096.0,1605,1538.2972,176.2402326,-38.1397158
486.9533952254641,1428,331.801,135.3443583,6.0970828
486.9533952254641,1102,1719.4603,293.2822344,48.2859173
441.0,1275,8.03,291.0323102,49.0402129
1.54,284,19.5,332.5632644,58.7060934
486.9533952254641,2101,505.3497,100.5712467,-29.77678
486.9533952254641,1036,68.96876,163.0323119,0.493167
74.7,716,9.1,93.0578446,-14.6493167
486.9533952254641,1102,6.15,297.3539994,41.3000452
2.71,348,875.61726,277.94363,56.6506789
486.9533952254641,713,101.38777,88.1468079,-19.0316268
486.9533952254641,1102,16.0,283.2413322,46.3784691
486.9533952254641,1468,235.1942,215.1227617,-31.2020698
425.0,1264,530.77344,144.5377709,-49.3352226
486.9533952254641,1102,6.9,298.0794448,44.746248
1800.0,2360,451.31634,256.6722026,67.8715032
486.9533952254641,1102,22.2481,213.1565508,4.0594175
750.9,1456,79.4571,272.2670293,45.3368996
6.29,441,32.59,181.5718341,12.5070258
486.9533952254641,1180,1910.14873,46.8186159,-31.1629951
41.7,708,4.3,170.3135774,25.2732942
4070.0,2223,7.9,182.751404,-9.7652392
486.9533952254641,1102,4.47,301.5785316,44.3121639
1330.0,1681,1369.8473,359.1519716,36.2129562
486.9533952254641,1203,44.1,313.1670294,65.6087833
486.9533952254641,800,5.69,189.8392243,20.0273377
486.9533952254641,795,8.9,26.2092533,-18.4013844
486.9533952254641,1102,11.17,300.864006,44.3375497
486.9533952254641,1102,14.61,299.1393094,40.948939
486.9533952254641,600,3.86,7.3020115,-30.4541159
95.58,871,8.56,157.1440712,65.8541986
486.9533952254641,1000,206.58846,134.9576234,-48.4884929
112.0,907,20.31,20.2148196,66.0722009
42.5,694,86.7,183.563961,-13.1748411
486.9533952254641,1102,5.33,297.4653351,42.8828517
845.0,1381,129.99182,180.5462193,-35.5486091
818.5,1488,721.47048,271.3241672,-34.107171
486.9533952254641,422,22.7,51.7501882,-63.500166
