radius,mass,temperature,Discovery_Method,Discovery_Method_Index,features,rawPrediction,probability,prediction
2.52,5.4,435,Transit,0.0,"[2.52,5.4,435.0]","[8.928574488020447,1.0673058368787527,0.0010615711252653928,0.0030581039755351682]","[0.8928574488020447,0.10673058368787527,0.00010615711252653928,0.0003058103975535168]",0.0
2.896,10.9,1129,Transit,0.0,"[2.896,10.9,1129.0]","[9.834024388754111,0.14289046634546615,0.011705104978235256,0.011380039922187342]","[0.9834024388754111,0.014289046634546615,0.0011705104978235255,0.001138003992218734]",0.0
11.545,346.4347,1459,Transit,0.0,"[11.545,346.4347,1459.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
1.088,1.58,1102,Transit,0.0,"[1.088,1.58,1102.0]","[9.826057441158248,0.14618540573630892,0.002188183807439825,0.0255689692980014]","[0.9826057441158248,0.014618540573630892,0.00021881838074398248,0.00255689692980014]",0.0
8.717,120.0,1264,Transit,0.0,"[8.717,120.0,1264.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
3.65,15.4,330,Transit,0.0,"[3.65,15.4,330.0]","[8.770853723936046,1.2214846883303314,0.004603483758087117,0.0030581039755351682]","[0.8770853723936046,0.12214846883303314,0.0004603483758087117,0.0003058103975535168]",0.0
2.018,2.89,999,Transit,0.0,"[2.018,2.89,999.0]","[9.819272948816486,0.16971377430055726,0.002188183807439825,0.008825093075516762]","[0.9819272948816484,0.016971377430055723,0.00021881838074398245,0.000882509307551676]",0.0
10.593,183.38791,1296,Transit,0.0,"[10.593,183.38791,1296.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
3.12,7.3,1102,Transit,0.0,"[3.12,7.3,1102.0]","[9.848192039285397,0.132264728447001,0.008163192345413533,0.011380039922187342]","[0.9848192039285397,0.0132264728447001,0.0008163192345413533,0.001138003992218734]",0.0
11.874,483.0,1102,Transit,0.0,"[11.874,483.0,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
12.11,403.63,1070,Transit,0.0,"[12.11,403.63,1070.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
4.7,30.8,700,Transit,0.0,"[4.7,30.8,700.0]","[9.502431452745835,0.4809230340775907,0.014090566329903255,0.0025549468466705798]","[0.9502431452745835,0.048092303407759066,0.0014090566329903254,0.00025549468466705796]",0.0
10.077,335.94463,1505,Transit,0.0,"[10.077,335.94463,1505.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
