System_Distance_PC,Star_Mass_Solar,temperature
158.66,1.21,1102
298.392,1.2,1102
252.759,0.86,1102
140.998,0.75,1370
272.655,1.1,1102
169.272,0.89,900
325.377,0.78,1111
232.98,1.05,1880
95.1274,0.92,800
161.997,1.62,1102
149.942,0.84,1160
343.08,1.39,1557
317.652,1.46,1102
276.211,1.04,1230
730.933,1.33,2000
602.236,1.25,1624
275.664,1.48,1102
435.156,1.32,1496
246.69,1.39,1716
137.544,1.46,1102
268.325,0.96,2113
105.166,0.9,1715
117.598,0.9,1320
327.506,0.95,1610
362.715,0.76,1102
142.867,0.92,1125
298.214,0.98,1102
327.602,1.08,1479
310.841,0.95,910
381.174,1.39,1880
213.053,0.58,1102
290.404,1.06,1102
227.537,0.72,1102
250.489,1.08,1529
290.684,1.28,1102
212.472,0.92,910
86.7467,0.58,1102
197.119,0.55,1102
305.3,0.65,2198
64.5997,0.91,1102
355.513,0.81,1260
362.087,1.06,1254
516.543,1.25,1540
59.7117,0.78,686
715.383,1.41,1850
89.9606,1.34,1102
189.469,0.91,1102
757.84,1.17,1642
294.001,1.14,1710
175.748,0.95,1317
98.4458,0.44,555
201.338,0.84,1053
414.234,1.22,1590
610.176,1.34,1700
149.216,0.98,1102
538.11,1.49,1740
122.066,0.87,934
132.096,0.96,1102
539.36,1.21,1571
211.877,1.2,1379
211.211,1.67,1102
75.2092,0.96,1056
305.603,0.93,1422
177.291,0.95,1021
77.2554,0.73,941
157.963,1.29,1102
275.587,1.41,1742
28.5321,0.41,996
46.0851,0.42,635
398.276,0.89,1338
108.199,1.26,1102
194.553,0.92,1102
175.631,1.11,1102
141.887,1.09,1452
278.514,1.22,1102
136.24,1.76,1102
234.149,1.41,1743
64.2308,0.51,482
63.9262,0.71,1253
64.2308,0.51,553
454.144,0.88,1102
282.091,1.18,1102
466.433,1.55,1840
627.066,1.34,1604
279.35,1.12,1160
275.994,0.72,1102
515.98,1.08,1102
201.224,1.41,1102
352.464,1.06,1285
663.231,1.23,1480
340.543,1.28,1397
159.658,1.04,1102
162.303,1.28,1487
375.647,1.22,2508
437.495,1.04,1186
161.743,1.4,1561
369.926,1.0,1689
383.829,1.16,1102
301.462,1.0,1100
231.337,0.93,1102
207.49,0.78,1102
64.2308,0.51,674
360.313,0.9,1480
523.337,1.29,2043
302.448,1.02,1600
95.1274,0.92,1038
222.355,1.11,1387
568.42,1.34,1721
171.319,0.46,745
122.91,0.79,1329
261.386,0.97,1638
271.103,1.11,1120
2346.01,1.2,1500
364.512,0.94,1337
59.7117,0.78,469
267.206,0.86,1102
184.848,0.89,1395
142.488,1.14,995
423.552,1.59,2329
60.3418,0.8,641
153.242,0.9,1311
202.218,1.05,1102
114.173,1.19,1270
122.91,0.79,682
436.098,1.04,1404
246.353,0.95,1102
508.885,1.09,1620
211.196,0.85,1153
27.1701,0.54,420
158.649,0.97,1192
448.637,1.07,1400
27.1701,0.54,520
